Spaans,Nederlands
dicho,gezegde
nueva,nieuwe
sabía,ik wist
muchas,veel
dentro,binnenin
hice,ik deed
contra,tegen
auto,auto
camino,weg
ayuda,hulp
primera,eerst
hacia,naar
vi,zaag
miedo,angst
adiós,doei
primero,eerst
debería,zou moeten
poder,kan
niños,kinderen
sería,zou
historia,geschiedenis
hey,Hoi
mientras,terwijl
ciudad,stad
dijiste,gezegd
espero,wacht
cuánto,hoeveel
esposa,vrouw
pronto,vroeg
chicos,Jongens
cualquier,elk
viejo,oud
debemos,moeten
deja,laten
año,jaar
muerte,dood
hablando,gesprekken
manos,handen
da,geeft
loco,gek
problemas,problemen
mano,hand
guerra,oorlog
semana,week
pasar,besteden
vale,Oke
cuál,welke
viene,komt
volver,opbrengst
toma,nemen
caso,geval
agua,Water
haré,ik zal doen
vete,ga weg
entiendo,ik snap het
horas,uren
personas,mensen
capitán,gezagvoerder
adelante,vooruit
niño,kleine jongen
listo,slim
noches,nachten
buenos,goede
iba,ik ging
juntos,samen
dame,geef aan mij
único,uniek
déjame,laat mij
cerca,dichtbij
otros,anderen
sigue,volgen
grande,groot
arriba,omhoog
jefe,baas
habla,toespraak
supongo,Volgens mij wel
manera,manier
quieren,Zij willen
feliz,Vrolijk
significa,het betekent
sangre,bloed
fin,af hebben
bajo,bas
llama,telefoongesprek
venir,komen
morir,Sterven
importante,belangrijk
hiciste,deed
ojos,ogen
escucha,luister
entrar,stap in
ningún,geen
corazón,hart
diablos,Duivels
necesitamos,nodig hebben
atrás,achter
durante,gedurende
dices,Jij zegt
nuestros,ons 
persona,persoon